name,task_num,question_name,value,task_name
A2IP3ZAFYGV8M9,8,Q5creativity_feedbck,"I find it hard to really classify this one because I could see an argument for coming up with these words to be a creative task of sorts, but realistically it's mostly just remembering already known words that fit a certain criteria.",Word completion given starting letter
A2VRDE2FHCBMF8,22,Q5creativity_feedbck,I had no troubles,Room assignment task
A341XKSRZ58FJK,22,Q5creativity_feedbck,"Again, fractions with decimals. I'll assume that this continues throughout, and won't make mention of it again.",Room assignment task
A1I72NHC21347A,8,Q6type_5_feedback,no,Word completion given starting letter
A1I72NHC21347A,15,Q6type_5_feedback,no,Graph coloring task
A1I72NHC21347A,16,Q6type_5_feedback,no,Shopping plan
A1I72NHC21347A,22,Q6type_5_feedback,no,Room assignment task
A1DUPOUC9RNU4L,8,Q6type_5_feedback,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q6type_5_feedback,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q6type_5_feedback,no,Shopping plan
A1DUPOUC9RNU4L,22,Q6type_5_feedback,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q6type_5_feedback,I did not,Word completion given starting letter
A13FUEPWBCLBUY,8,Q6type_5_feedback,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q6type_5_feedback,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q6type_5_feedback,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q6type_5_feedback,no trouble,Room assignment task
A2VRDE2FHCBMF8,22,Q6type_5_feedback,I had no troubles,Room assignment task
A1I72NHC21347A,8,Q7type_7_feedback,no,Word completion given starting letter
A1I72NHC21347A,15,Q7type_7_feedback,no,Graph coloring task
A1I72NHC21347A,16,Q7type_7_feedback,no,Shopping plan
A1I72NHC21347A,22,Q7type_7_feedback,no,Room assignment task
A1DUPOUC9RNU4L,8,Q7type_7_feedback,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q7type_7_feedback,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q7type_7_feedback,no,Shopping plan
A1DUPOUC9RNU4L,22,Q7type_7_feedback,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q7type_7_feedback,"It could be if the people were competing, but there is only mention of generating a lot of ideas, no mention of beating anybody else",Word completion given starting letter
A13FUEPWBCLBUY,8,Q7type_7_feedback,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q7type_7_feedback,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q7type_7_feedback,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q7type_7_feedback,no trouble,Room assignment task
A6JKKANO7F4KD,16,Q7type_7_feedback,"It's uncertain about whether the participants are competing against each other, or trying to cooperatively earn the highest number of points for the house",Shopping plan
A2IQ0QCTQ3KWLT,8,Q7type_7_feedback,To me you lose if you cant come up with the words,Word completion given starting letter
A2VRDE2FHCBMF8,22,Q7type_7_feedback,I had no troubles,Room assignment task
A32Y2N9XYGNOJ1,15,Q7type_7_feedback,"This one is hard, because the question is specifically if the task is win/lose (which it is, it's a pass or fail), but the elaboration delves deeper into the battle/competition, and the task isn't really a competition (other than against the clock).",Graph coloring task
A32Y2N9XYGNOJ1,16,Q7type_7_feedback,"Again, there's a scoring element to the task, but we're not really told if the team competes against another team, so it's hard to properly answer.",Shopping plan
A32Y2N9XYGNOJ1,22,Q7type_7_feedback,"Again, there are points, but we are not specifically told whether we are competing against others.",Room assignment task
A341XKSRZ58FJK,8,Q7type_7_feedback,"It's not openly stated above that the word completion game is a competition. There are scores involved, perhaps for ranking, but it doesn't explicitly say the players are competing.",Word completion given starting letter
A341XKSRZ58FJK,22,Q7type_7_feedback,"I'm inclined to say ""no,"" but certain people getting certain rooms could be seen as a win.",Room assignment task
A1I72NHC21347A,8,Q8type_8_feedback,no,Word completion given starting letter
A1I72NHC21347A,15,Q8type_8_feedback,no,Graph coloring task
A1I72NHC21347A,16,Q8type_8_feedback,no,Shopping plan
A1I72NHC21347A,22,Q8type_8_feedback,no,Room assignment task
A1DUPOUC9RNU4L,8,Q8type_8_feedback,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q8type_8_feedback,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q8type_8_feedback,no,Shopping plan
A1DUPOUC9RNU4L,22,Q8type_8_feedback,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q8type_8_feedback,I did not,Word completion given starting letter
A13FUEPWBCLBUY,8,Q8type_8_feedback,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q8type_8_feedback,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q8type_8_feedback,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q8type_8_feedback,no trouble,Room assignment task
A2IP3ZAFYGV8M9,8,Q8type_8_feedback,"The way the description of the task is worded suggests that even if a team only managed to come up with a few words it would be acceptable.  That doesn't feel entirely correct to me as there's no reason for people to go beyond that in that case, but that's how it is so far as I can tell.",Word completion given starting letter
A2VRDE2FHCBMF8,22,Q8type_8_feedback,I had no troubles,Room assignment task
A1I72NHC21347A,8,Q9div_unitary_feedbk,no,Word completion given starting letter
A1I72NHC21347A,15,Q9div_unitary_feedbk,no,Graph coloring task
A1I72NHC21347A,16,Q9div_unitary_feedbk,no,Shopping plan
A1I72NHC21347A,22,Q9div_unitary_feedbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q9div_unitary_feedbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q9div_unitary_feedbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q9div_unitary_feedbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q9div_unitary_feedbk,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q9div_unitary_feedbk,I did not,Word completion given starting letter
A13FUEPWBCLBUY,8,Q9div_unitary_feedbk,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q9div_unitary_feedbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q9div_unitary_feedbk,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q9div_unitary_feedbk,no trouble,Room assignment task
A1BHR5XQ16T7LA,8,Q9div_unitary_feedbk,They could individually come up with a list of words and then everyone compares their lists.,Word completion given starting letter
A2VRDE2FHCBMF8,22,Q9div_unitary_feedbk,I had no troubles,Room assignment task
A2871R3LEPWMMK,16,Q9div_unitary_feedbk,I think in this scenario it makes sense for each person to calculate independently to some degree to offer their list to the group so they can compare and contrast when considering tradeoffs within the time limit.,Shopping plan
